"MassGain"	"InitialMass"	"ConifCover"	"DecidCover"	"WaterCover"	"Altitude"	"RoadPresence"	"MotherAge"	"MotherMass"	"MotherYoung"
25.38	18.1	0.68	0.02	0.13	999	1	3	99.82	"one"
23.19	21.5	0.94	0.02	0	503	1	5	80.73	"one"
16.1	21.25	0.19	0.78	0.01	553	1	4	85.32	"one"
26.9	20.1	0.82	0.03	0.09	393	0	6	74.32	"one"
35.98	19.4	0.02	0.49	0.48	614	0	4	117.56	"one"
27.98	22.43	0.15	0.65	0.19	654	0	8	106.94	"one"
29.98	18.58	0.18	0.44	0.19	927	0	7	92.75	"one"
17.92	19.44	0.7	0.04	0.12	592	1	4	91.66	"one"
22.89	19.63	0.02	0.69	0.22	374	1	10	112.05	"one"
19.9	23.57	0.43	0.28	0.08	786	1	5	113.39	"one"
20.47	22.69	0.97	0	0.03	481	1	8	111.68	"one"
32.06	18.85	0.77	0.14	0.02	899	0	5	109.76	"one"
28.06	16	0.32	0.44	0.17	742	0	7	99.16	"one"
17.75	19.56	0.94	0.05	0	608	1	5	107.68	"one"
19.5	20.47	0.81	0.05	0.01	866	1	4	102.31	"one"
22.83	19.87	0.59	0.09	0.25	388	1	4	108.2	"one"
32	18.07	0.99	0.01	0	957	0	4	102.9	"one"
29.2	16.54	0.97	0.02	0	661	0	7	83.14	"one"
25.93	19.34	0.23	0.76	0	462	1	5	92.5	"two"
25.81	17.43	0.16	0.43	0.32	257	0	6	85.32	"one"
17.52	16.86	0.66	0.17	0.1	382	1	6	103.41	"one"
32.65	22.68	0.39	0.1	0.18	932	0	9	125.64	"one"
32	22.54	0.18	0.28	0.06	601	0	9	131.44	"one"
33.57	21.81	0.67	0.21	0.07	351	0	4	120.13	"one"
20.1	22.38	0.39	0.22	0.12	809	1	6	95.99	"one"
27.33	18.04	0.15	0.44	0.28	236	0	8	107.33	"one"
14.81	19.16	0.47	0.17	0.35	354	1	6	88.91	"one"
29.52	19.9	0.82	0	0.16	479	0	6	83.44	"one"
23.87	21.33	0.72	0.12	0.14	974	1	9	100.2	"one"
14.82	18.84	0.32	0.03	0.23	281	1	8	89.97	"one"
17.85	22.05	0.18	0.65	0.15	498	1	9	96.95	"one"
28.6	16.82	0.35	0.07	0.33	742	0	8	103.39	"one"
25.99	25.53	0.27	0.23	0.06	388	0	6	122.71	"one"
17.09	16.9	0.59	0.19	0	616	1	7	102.54	"one"
31.15	20.7	0.02	0.54	0.41	546	0	5	105.96	"one"
27.19	19.22	0.88	0.03	0.02	822	1	8	100.3	"one"
27.91	20.88	0.36	0.18	0.18	313	1	3	127.21	"one"
24.51	19.68	0.21	0.24	0.16	379	0	3	103.81	"one"
24.73	18.38	0.6	0.24	0.01	800	1	9	94.3	"one"
21.75	19.57	0.68	0.16	0.08	899	1	9	80.94	"two"
27.21	18.53	0.72	0	0.18	390	1	4	115.52	"one"
27.88	20.64	0.39	0.14	0.46	614	0	7	119.34	"one"
18.46	21.31	0.19	0.43	0.03	933	1	10	76.22	"one"
22.61	19.31	0.15	0.38	0.32	642	1	6	90.96	"one"
28.56	20.9	0.79	0.13	0.07	290	0	9	125.86	"one"
32.54	22.44	0.63	0.27	0.07	930	0	4	80.62	"one"
28.47	21.27	0.95	0.02	0	558	0	3	86	"one"
24.25	25.46	0.73	0.06	0.09	888	0	9	73.31	"one"
32.6	21.1	0.56	0.3	0.12	786	0	9	84.38	"one"
26.47	22.73	0.2	0.44	0.33	638	1	5	86.97	"one"
22.55	16.3	0.27	0.43	0.06	663	1	10	109.76	"one"
24.21	20.64	0.19	0.79	0.01	644	0	8	68.74	"one"
27.38	21.29	0.36	0.05	0.5	707	0	8	83.62	"one"
31.08	18.88	0.67	0.14	0.04	547	0	3	96.22	"one"
24.64	21.23	0.01	0.35	0.07	759	1	9	92.15	"one"
27.93	22.61	0.15	0.31	0.5	208	0	10	72.17	"one"
16.08	13.74	0.99	0	0	849	1	7	79.48	"one"
25.65	23.39	0.52	0.1	0.34	210	0	9	104.26	"one"
20.76	21.5	0.13	0.6	0.21	712	1	4	97.33	"one"
31.24	20.44	0.17	0.53	0.05	892	0	8	97.37	"two"
